XPath,Tag,Text
"/html/body/main/div[3]/section/div/ul/li[4]","li","Book a vacation Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[4]/a","a","Book a vacation Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[4]/a/span","span","Book a vacation Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[4]/a/span/i","i","Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[4]/a/span/i/span","span","Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[5]","li","Dubai Experience"
"/html/body/main/div[3]/section/div/ul/li[5]/a","a","Dubai Experience"
"/html/body/main/div[3]/section/div/ul/li[5]/a/span","span","Dubai Experience"
"/html/body/main/div[3]/section/div/ul/li[6]","li","Pay in installments"
"/html/body/main/div[3]/section/div/ul/li[6]/a","a","Pay in installments"
"/html/body/main/div[3]/section/div/ul/li[6]/a/span","span","Pay in installments"
"/html/body/main/div[3]/section/div/ul/li[7]","li","Meet & Greet Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[7]/a","a","Meet & Greet Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[7]/a/span","span","Meet & Greet Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[7]/a/span/i","i","Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[7]/a/span/i/span","span","Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[8]","li","Airport transfers Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[8]/a","a","Airport transfers Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[8]/a/span","span","Airport transfers Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[8]/a/span/i","i","Opens an external link in a new tab"
"/html/body/main/div[3]/section/div/ul/li[8]/a/span/i/span","span","Opens an external link in a new tab"
"/html/body/main/section","section","Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348* See more fares redirects to Featured fares See more fares *Terms and conditions apply Explore more destinations Be inspired by our route map"
"/html/body/main/section/div","div","Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348* See more fares redirects to Featured fares See more fares *Terms and conditions apply Explore more destinations Be inspired by our route map"
"/html/body/main/section/div/div","div","Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348*"
"/html/body/main/section/div/div/div","div","Featured destinations from New York John F. Kennedy"
"/html/body/main/section/div/div/div/h2","h2","Featured destinations from"
"/html/body/main/section/div/div/div/div","div","New York John F. Kennedy"
"/html/body/main/section/div/div/div/div/div","div","New York John F. Kennedy"
"/html/body/main/section/div/div/div/div/div/div","div","New York John F. Kennedy"
"/html/body/main/section/div/div/div/div/div/div/a","a","New York John F. Kennedy"
"/html/body/main/section/div/div/div/div/div/div/a/span","span",""
"/html/body/main/section/div/div/div/div/div/div/a/span[2]","span","New York John F. Kennedy"
"/html/body/main/section/div/div/div/div/div/div/a/i","i",""
"/html/body/main/section/div/div/div/h2[2]","h2",""
"/html/body/main/section/div/div/a","a",""
"/html/body/main/section/div/div/a/img","img",""
"/html/body/main/section/div/div/ul","ul","ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348*"
"/html/body/main/section/div/div/ul/li[31]","li","ITALY Milan Book Economy Class Return until 08 May 25 from USD 684*"
"/html/body/main/section/div/div/ul/li[31]/a","a","ITALY Milan Book Economy Class Return until 08 May 25 from USD 684*"
"/html/body/main/section/div/div/ul/li[31]/a/picture","picture",""
"/html/body/main/section/div/div/ul/li[31]/a/picture/img","img",""
